Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People’s Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2000,6.98709575,14.71546403,81.47867122,0.004293136,,64.99314654,2.795359391,16.5182763,50.92042133,5.70944765,24.79862857,21.78447598,43.51837081,4.909576751,86.75334753,8.883551435,11.08142187,7.004549038,14.92228655,14.47844244,18.14654925,4.393293455,37.64735268,16.0627213,35.30492952,11.45331934,8.091378271,1.643413381,97.60029053,9.286217728,9.087266013,35.56502601,1.885595019,7.473280848,15.62484517,47.49223652,3.338601159,0.781683199,9.058824814,,25.14334748,36.16575922,19.47664347,26.12284665,8.464509053,48.88560103,6.935385085,18.59303317,47.33470339,10.31569572,,3.65291651,43.80363779,13.04458623,14.14739321,2.534630403,16.49094872,22.37098725,42.27487109,14.04764026,95.6290264,12.27891127,38.3043749,10.93698433,15.38562994,0,2.084567046,7.444654181,39.96129106,1.628494275,89.93372646,19.30732043,33.28255871,27.90812535,28.91957907,10.70462691,23.39639257,0,11.57736361,0.034668024,5.092609309,16.0200919,4.166097558,6.735559215,17.53936269,9.145342912,28.88981104,29.10767324,1.657353663,14.64641293,26.98837619,61.01401109,72.4059873,8.569597449,,4.914833187,16.21506888,19.43033795,9.474196583,16.36127876,60.53719359,28.99697559,5.43753599,58.72123261,19.10062596,,92.05785011,7.341540108,9.709292186,49.07551798,11.89928501,26.60888466,56.26860032,85.73440231,,36.32793457,10.17841696,1.969898445,11.36791434,30.50566165,60.87205664,8.285387105,5.091646271,0.748837553,0,8.015309851,8.778630307,28.9173665,2.08381741,51.25252301,,2.872590789,,4.233874699,15.9391162,9.199805866,2.344565276,0,6.626917989,20.64436325,1.62784401,4.093811546,6.447665561,23.9289788,54.35996825,30.51348913,0,67.7535703,90.93384993,21.03833885,0,5.780440365,29.4149255,4.809557091,9.344527031,12.31363811,66.91458584,7.407211479,0.002417984,96.01178954,48.6509384,72.48687307,24.50420862,5.481673171,,40.08513612,83.75361163,15.40176259,0,6.551096828,41.548858,52.68708519,,21.10435905,37.31101813,0.931201494,13.0742507,45.81915093,,12.18868436,6.674369224,6.62587387,5.169695089,,4.923545944,10.34267348,2.924030897,10.64445164,17.79020864,63.08669431,13.72263417,12.76137284,19.74115042,1.055673577,38.80641781,1.509837679,77.73876145,48.98855222,16.59376104,76.67635677,5.453443199,0,29.31077149,64.33672495,93.68458631,25.40131451,42.26932132,0.848280239,61.73559679,1.240460173,49.77769235,19.15882255,0,,31.72281996,12.1425376,12.82331379
2001,7.497991901,15.33261955,79.96331818,0.004243273,,63.52039599,2.682644061,16.63602126,49.18273114,5.512375556,25.71614069,22.52087615,43.61095373,4.807539204,86.64602468,9.153087042,10.92788585,7.082783585,14.57239786,14.5638975,18.98528181,4.2586733,41.00968495,18.39215844,42.93086269,8.493090103,7.570066545,1.584668942,96.4427221,9.519471895,14.89222833,52.77340957,1.78397627,6.980810057,15.14171144,47.85942213,3.226190273,0.573271289,9.432957432,,26.23667177,36.5726303,19.52131924,26.81142617,9.415079044,41.55857166,7.786125504,20.09748758,48.2754104,10.35436033,,3.546716689,43.24714519,13.24994998,14.79312202,2.693021788,15.71849688,22.35232406,43.34213483,13.09720067,91.75716868,13.32933151,38.78933066,12.55257834,15.4960291,0,1.939002905,7.724759016,40.0028991,1.495991328,81.55848148,18.16689276,32.65394859,26.57191347,28.83480613,9.891970469,23.28084814,0,12.51256924,0.034005501,16.04463971,13.94857019,3.6710024,5.566158212,18.59140298,9.127108612,28.76287747,29.68354475,1.491316542,14.71655154,23.30424281,60.88804464,72.42099739,8.643820159,,4.575179312,16.06040023,12.76039595,9.918216352,16.38385365,60.12662687,28.81420336,5.412981368,58.51460129,19.59980951,,91.70000933,7.285022761,9.268723167,50.4330147,11.5105321,27.57723099,53.22241487,84.6897914,,37.70609723,9.472905588,1.904911475,11.20086615,30.99562932,61.99357155,8.129974613,4.927134678,0.736041396,0,7.951073433,11.32358321,32.30474775,2.105221853,50.29386845,,3.731673071,,4.172141451,17.40186315,7.08424661,2.561287636,0,6.63612425,21.9445451,1.583813751,4.138552072,6.625006079,19.29068247,54.04407235,31.42823372,0,69.86918647,92.09237156,22.09894382,0,5.106993807,27.82951774,4.331393597,9.948266233,12.57080299,67.28614609,9.856483,0.002322385,96.08578035,48.01016895,72.99204991,23.44931525,5.072367797,,40.183563,83.38045341,15.27542044,,7.236438486,35.67052834,56.82858558,,23.02373155,35.5964462,0.903336969,13.3382847,45.31106637,,12.09150594,6.810330492,6.436432346,5.040554242,,4.805166429,10.53046619,9.19438196,9.821533044,17.88312658,60.70996135,13.62651524,12.95658466,19.60730843,0.981514876,40.95996391,1.477622125,78.04730253,49.75637359,15.93357024,77.43852039,5.760327466,0,29.6427823,64.2774358,93.1717638,26.41358886,42.95940236,1.155400593,63.11103635,1.25958563,46.12881069,20.17699745,0,,29.78990472,12.45059091,11.55697622
2002,7.287866268,16.63177612,79.70610488,0.00419568,,62.97195291,2.667006109,16.55760279,49.0132623,5.611451311,27.28336504,22.78856165,43.28745477,4.665171061,86.58959136,9.327397837,10.11903375,7.000636075,13.65166502,14.53018274,17.19084158,4.251968324,39.32828572,18.68727472,43.21438281,7.822343728,7.736179587,1.61540919,96.12163297,10.70887343,14.15303521,52.78757749,1.709954839,6.216290926,17.35611626,45.35473914,3.151594769,1.036084546,9.494998417,,26.15573595,38.23895717,19.73102648,26.91348179,8.499848216,50.83764586,8.269621371,21.822176,48.91051599,10.39416621,,3.372056771,42.62416785,13.93850398,14.88456324,2.777632774,15.45942977,21.53327671,44.59040132,12.10531865,90.20986816,11.15722889,38.2811909,11.80205802,14.04708964,0,2.082046228,8.158540589,40.11965679,1.23738603,86.34530959,18.36964415,33.55548928,25.67370811,30.81032042,8.725827717,23.60157963,0,13.75194902,0.04020835,13.7639329,14.09678678,3.867096848,5.865213011,16.73356848,9.390578811,28.26130079,32.07913562,1.4973304,15.56509312,13.79414901,61.29906537,69.16822323,8.731012471,,5.244268014,16.2354879,12.63066437,7.773317489,18.78051531,58.95153603,28.69105326,5.362730022,57.5521594,19.30773428,,91.21244898,7.344685763,8.596976266,45.73892161,11.53777186,23.76875805,56.71972561,84.22281152,,35.38639888,10.94132574,1.477330476,15.12637421,30.8206997,57.77876313,9.603121147,5.195174365,0.503680394,0,7.982028843,9.338640002,32.47922386,2.128258497,46.22391069,,4.846700439,,4.195159258,20.66725176,9.988205732,2.473657611,0,6.591431603,22.27962874,1.44827124,4.124858832,6.693845846,30.28172153,50.26672936,31.87855783,0,72.18575511,92.35032742,22.27370895,0,4.633517563,27.16399349,5.070738033,10.01800344,9.941510869,67.02512393,10.69840111,0.002298189,96.17947283,47.69849873,70.51381658,22.68703845,5.037813959,,40.13645252,83.55838142,15.56779151,,9.24339709,38.95291731,61.05580338,,22.44932226,37.33896592,0.909651808,13.63106448,45.19736696,,11.75042747,6.5586372,6.418183654,5.047648934,,4.867281493,10.80764188,2.53388133,9.991349427,17.56549151,58.95292628,13.43102729,14.53151712,19.98274037,1.016528201,38.31704872,1.28152468,79.36951313,49.88579509,15.95633906,76.44050095,5.650868896,0,30.15400604,63.05926922,93.04241385,26.44633096,42.35092803,1.47694856,63.27912287,1.267172521,45.83813649,21.54310591,0,,29.18245069,12.4890526,11.97431186
2003,7.311322391,19.26251387,80.78265731,0.004152901,,61.99917168,2.661521553,16.6729696,49.38817009,5.319178725,29.1021043,22.68625848,43.66155454,4.819451294,87.10055477,9.636132746,9.509869201,6.944581705,13.07650085,13.29700589,21.01509566,4.237612372,44.10604075,24.11382181,43.13136282,9.748136741,7.954231076,1.707113536,96.17730183,11.25909259,13.99266364,53.7292201,3.2132209,6.096845534,17.44536488,43.60964452,3.038935492,1.09294942,9.748559572,,25.53110346,41.65286147,19.56290276,27.88811083,10.80923418,48.41258309,8.669873116,26.48906759,49.25271306,9.906147754,,3.263679764,42.65733017,13.83342727,15.08684436,2.807550605,15.58463917,20.94978115,45.97932723,12.83255002,90.43685212,11.17338408,40.68667175,11.73491575,14.71184742,0,2.004845704,8.182980294,41.03266444,1.375661408,87.08546521,22.50454958,33.78719394,26.03117583,31.63525938,7.976816036,22.93577819,0,13.99540609,0.039509379,7.907750623,16.57081872,4.061229979,5.536471869,15.74472893,6.963438694,27.73907371,32.2960729,1.382344021,15.90287126,23.58607677,64.43960279,67.40328101,14.00280498,,6.32577932,15.81199966,12.10488502,7.938781224,22.21521452,63.25622585,28.30576086,5.320843141,58.10712865,19.60304427,,92.03669086,7.11710263,8.971471464,51.92139998,11.82624612,24.2477884,59.4673201,85.78532616,,35.9338236,10.83902956,1.357214157,14.37565584,30.65040411,62.22618788,9.659849877,5.066570994,0.703000404,0,8.094924127,8.730446627,30.93766492,2.143554414,45.99547718,,5.250715828,,5.468936462,20.73607436,10.87112897,2.42628999,0,6.529041191,22.54327681,1.481106044,3.882378781,6.833938297,30.53604405,53.77903755,33.45882861,0,73.62941874,92.73830531,23.26275536,0,4.48665977,31.41175743,5.377227156,9.955388508,10.36574261,65.87914806,11.06619617,0.002293783,96.37006467,48.45936401,70.61622239,31.91092459,5.040596207,,40.16297743,84.5100734,16.09573668,,9.866531443,38.44050059,60.61479844,,23.18292371,37.41957943,0.912879079,13.97305968,46.50731249,,10.82844735,5.942871665,6.354219069,5.052874497,,5.049678266,10.59067272,1.470073751,9.994828176,17.92220244,57.1224269,13.16103578,13.96611749,20.93973808,1.013709186,45.7554485,1.271299524,84.00780483,50.4953805,16.12367004,76.37661957,5.578082652,0,28.41809733,63.05828806,93.01869967,26.43621909,41.68566317,1.788665579,60.9737524,1.278857178,42.27059879,21.90844305,0,,29.82462192,12.38302293,12.2170971
2004,7.52240909,22.08988096,79.98857351,0.00410177,,63.55752377,2.807654916,17.95315713,48.94456129,5.539217365,29.2325614,21.88152049,43.46956167,4.960315202,87.22803285,10.07159498,10.23702622,6.674025456,13.11265273,14.13715358,20.15248673,4.555230358,40.46280657,11.56312636,45.25778585,10.32871468,7.961212454,1.779125755,96.94048696,11.24932824,14.66274965,52.38445599,3.22761104,5.65012435,16.23187171,42.83175621,3.241779572,1.424998512,11.52248158,,24.61499748,43.92007302,18.91667038,28.24025653,9.164022678,46.26494666,8.88891472,29.25568447,48.59679887,10.09443118,,2.290535107,42.50215698,15.33902447,15.4144922,2.924664285,15.74991433,21.46926484,47.00535968,12.9458118,92.07683729,15.97667639,41.11085739,12.32676404,14.9427507,0,2.071071565,8.06867722,41.63508962,1.607274102,84.14677997,20.68301816,34.64211302,26.78630821,33.27283212,6.535436738,23.32069729,0,13.86310114,0.048375312,15.74180381,16.21828848,3.831945288,5.424610279,16.03110185,7.934568415,27.36225226,31.09777957,1.326373515,15.77828511,19.27840956,65.42462861,69.72755089,11.8199035,,16.03495653,15.94804024,12.60292304,8.002555676,24.97360659,64.64839974,27.57434433,5.440397749,59.08616383,19.83043697,,91.99642145,7.259566589,5.742476683,53.55378641,11.86526574,29.43999639,58.11147474,86.28797653,,35.24849787,11.47881533,1.973747362,15.71395182,31.88387491,60.71432957,9.985020635,4.851577819,0.545631442,0,8.270098363,10.13475435,32.25163713,2.163127278,46.50033141,,5.935992754,,6.936798957,25.46534184,9.662215242,2.339217412,0,6.495448345,24.76427401,1.57775242,3.660221653,7.283427321,31.03532283,52.50784993,32.27318965,0,73.80727115,92.63265221,24.11957074,0,4.316074661,27.71686715,5.637484444,10.51575424,10.17081421,65.54882614,9.533086245,0.002339121,96.65523182,47.08151091,75.7141636,29.4829549,5.024630166,,40.12356867,84.5308848,15.29429342,,12.19280752,38.1271636,60.55984161,,21.99750702,37.94320851,0.925826519,14.42385085,46.97032201,,11.1025657,6.844902842,6.304056492,5.205494215,,5.125759432,10.18395559,2.116879228,9.872352475,18.42668844,54.64045533,12.89733804,15.7729263,20.9399409,1.100207468,43.35469764,1.287382107,84.57255329,50.71889249,16.06841358,75.69873943,5.569926732,0,29.92407146,62.77206279,93.01338852,25.3843393,41.20021306,2.098080694,60.36629179,1.31957206,44.08359734,26.70171352,0,,28.33459812,11.86995242,11.25827618
2005,7.72258261,22.24392341,80.48185417,0.004045561,,64.57534807,2.761475478,18.00231833,50.76215353,5.498959244,30.95122069,21.96800517,45.62680543,4.742652509,88.80786531,10.26428427,9.861525845,6.798448357,12.91856067,13.42219367,20.51872806,4.34305794,40.48492871,24.14141324,45.18378887,10.24846977,7.728693348,1.799648075,86.33212861,11.29175535,16.45562924,52.26616422,3.196675501,5.629667195,16.28937113,44.15441514,3.098569629,1.557634622,12.65773026,,24.59452258,45.64364982,19.30198281,28.52616363,10.3092575,50.06290378,10.46882507,26.46693452,48.99482543,9.377554031,,2.045345295,41.4837876,16.39666213,15.64046464,2.910374903,16.18907263,22.19407836,51.81325067,12.96339654,92.08812569,16.12230184,41.29676721,11.63779531,14.67740134,0,2.12625973,8.365884235,41.56826416,1.872270403,81.54657981,20.63453644,36.12999574,26.7913714,29.57429656,5.195869849,23.35723294,0,14.58679191,0.047563212,12.62310077,14.89599078,3.835095178,5.47921401,17.23562713,7.503031526,26.79653607,29.6148404,1.186066735,16.02882835,16.01626761,66.47222686,67.95151433,12.14818558,,19.55977911,15.32966051,11.51706394,8.246301984,26.47187636,65.51138801,28.17168994,5.467423593,60.94247619,20.07733262,,92.71196414,6.762215002,7.075099419,53.73181241,11.43343754,26.66991207,61.17353566,87.76071692,,35.13709769,10.5872476,2.440811468,13.83816497,31.23707581,60.75031157,10.54786406,4.856488325,0.491448989,0,8.40807399,10.421464,32.53305651,2.1837186,47.74500083,,5.938098551,,8.26653712,25.01073126,12.44208294,2.304192781,0,6.434366657,24.10867316,1.758106139,3.602467087,6.814204428,28.44943461,51.63191628,32.73863667,0,73.81556659,92.73747327,24.57116606,0,4.182894169,41.99342375,5.646456386,10.85758945,10.49229425,65.40716357,11.83273691,0.00233314,96.87670211,46.06190224,76.33482038,31.45491579,5.033355221,,40.23872379,85.26760923,15.04205741,0,12.5424379,43.035258,60.71156166,,20.4531587,37.40909857,0.926552254,14.9977387,46.6895345,,11.02396643,6.071538473,3.824776574,5.170769222,,5.116889542,9.291385515,3.013176969,10.32113756,19.16325809,51.67557804,12.48650113,15.30170023,21.46717986,1.103695627,39.6314742,1.340084346,85.39586078,49.99080607,16.17000699,76.56185033,5.468383942,0,26.15621081,62.3913535,92.98758778,23.54289847,39.57581791,2.456391093,60.14183197,1.333637142,44.25797045,29.83052511,0,,28.81242912,11.11426621,11.38829851
2006,7.900403882,23.66474562,80.28344049,0.003986174,,61.9811178,2.736662185,17.85710985,51.54060389,5.600088412,31.21800637,22.84654695,48.35826465,4.797107888,89.91954795,10.90048919,8.860204071,6.865474226,13.48608173,13.44084734,20.28090665,4.335771889,33.72836332,40.56165758,46.56444499,11.89052988,9.366340756,1.836341918,97.10431246,12.02025085,17.74219596,51.58007262,3.086078881,4.80882688,15.06401192,44.2485713,2.999250015,0.500091562,10.02389061,,23.89217125,46.2531147,19.15244573,29.37223342,6.368828801,63.01502901,10.53753255,26.07602444,49.87188331,10.09606681,,1.819153021,42.28718155,16.6718436,15.8320898,3.031388145,16.3998986,22.4953259,52.87064769,12.99652885,92.08735952,17.58430394,40.6084015,11.64622649,13.54399954,0,2.135705159,8.428057759,42.16364652,1.665575977,85.75579298,20.70757509,36.9678994,26.45025442,26.89746005,5.058885698,22.63298059,0,15.27159582,0.051384735,17.75886684,7.531184796,3.462419564,6.158024972,17.75487867,8.124687456,26.46713044,29.71410403,1.06854916,16.276736,10.59206328,67.5673125,67.56586756,12.51739514,,23.8136257,15.89246164,11.71960358,8.397460064,28.35095577,66.45825922,27.97540592,5.447647065,61.34400523,20.66418719,,92.6839399,6.745546637,9.014071833,54.02982588,11.12076768,27.2114675,62.02752102,88.46145787,,34.63004054,10.82177142,2.119513914,16.35572189,31.74094045,66.84700381,10.77056618,4.768815057,0.461396351,0,8.494452482,11.08933075,33.46070543,2.211889631,49.65936061,,7.449738044,,9.43140416,48.03477036,13.09266963,2.777635689,0,6.403068639,24.17650701,1.643862492,3.781645616,6.850847923,29.02874885,45.4518621,32.61725891,0,74.45409995,92.96175614,24.68209543,0,4.025409389,45.76825792,9.672512213,11.3168798,10.10654984,65.36096013,12.54309658,0.002499885,96.97837416,46.43630223,78.3325504,33.70539871,5.026746559,,40.09684851,85.28813581,14.97581508,,13.57754823,30.90670146,60.14138752,,22.17240269,38.24942727,0.936443608,15.50224975,46.78734537,,10.17999736,5.891342789,2.57604031,5.255402489,,5.132200059,7.472344722,3.416602123,10.81081421,19.89853465,49.57032976,11.9979339,21.26467684,21.59357786,1.110266979,44.23115188,1.399713813,87.03211473,50.03329782,17.01165546,76.17423766,5.537804058,0,27.6477858,64.83973185,93.18175233,22.32475516,39.66040034,2.731055512,60.01790445,1.330127341,43.91249524,32.62122575,0,,31.61311052,11.83126792,12.77313704
2007,8.073419206,24.75999216,79.44265626,0.00389051,,63.77493543,2.737464619,17.65798426,54.54026443,6.146509827,28.48575814,23.7253625,53.14255722,4.745917952,91.12763918,11.13612777,8.64560122,6.925445707,13.86190983,13.35283929,16.70081292,3.69348425,38.58943382,42.53735329,46.14077003,11.2869436,9.527291051,2.009204688,97.46361886,12.27860905,18.25462303,51.17106702,3.060129325,2.889646352,10.64202128,43.29547441,3.117508455,0.353292235,11.60958225,,23.19066101,46.43998323,18.9256698,29.1586484,3.260090634,42.6931453,11.44239107,25.84232453,49.94276374,9.851304021,,2.459651757,43.01998976,15.93681276,16.17230514,3.057292698,16.69841491,22.52420566,53.97656626,15.22037593,92.33256976,18.10185354,41.60816742,12.57544844,16.77410137,0,2.211088333,8.579466838,42.31550026,1.874073158,84.57479183,16.38120068,37.89290498,27.34167581,18.0412544,5.385097731,22.83292091,0,15.28673179,0.052743075,18.11602454,7.019426264,3.339101482,5.726595535,19.4447408,8.311913859,26.00825018,29.04666057,1.070965162,16.72119458,26.7603125,68.38595014,66.34656647,13.01954179,,24.56815816,16.29740429,11.67974968,8.546000672,29.72773816,66.58986846,28.43617499,5.587467304,57.89009475,21.19595382,,92.31402664,6.805513345,9.683105287,54.84071507,10.57377909,27.06937637,54.02794886,88.46652947,,34.27836082,11.01173208,2.409832669,16.07235455,32.05768684,66.5529571,11.02952252,4.173050666,0.388705623,0,8.5393454,11.52779035,34.21355269,2.236513496,51.17716559,,7.49445598,,10.67895337,48.83835114,13.33639484,2.566506416,0,6.359688211,24.71611229,1.793218493,3.843593202,6.769503622,29.01178101,39.70067227,32.27396234,0,75.65684025,92.7788563,25.18657181,0,3.853093871,40.98228008,11.78612734,12.21078272,10.4708295,63.68144267,12.63623762,0.002529989,97.30313734,46.56866316,78.9854896,33.54220352,5.048729674,,40.11705991,85.0040783,17.35970889,,14.96906419,22.79129475,59.81103663,,22.42868289,39.07784118,0.964148019,16.05395063,46.72126307,,9.77740002,5.595079008,1.136358378,5.327563936,,5.156674245,5.15997066,3.400687184,10.97566763,20.918336,47.73900209,12.17263713,21.99849114,21.56873983,1.131031935,29.19455009,1.479859965,87.05688715,55.37151603,17.31624074,76.58970386,5.713020597,0,16.97011109,67.00800971,93.19701008,22.2356894,39.78385948,2.856287917,58.97169636,1.345646555,40.99739984,34.20882395,0,,30.93727726,11.8188078,12.45780547
2008,8.193643221,25.79326823,79.3530714,0.003771101,,63.80243057,2.788952247,17.66005959,55.41369149,6.360103558,31.95452644,24.5266206,57.95179204,4.780040389,92.08499349,11.53442946,8.404425369,7.01967589,14.66860405,13.44992149,13.41232019,3.78203653,36.44944601,44.58816268,47.81814686,11.75659956,9.820190549,2.069105725,97.57539809,12.4435303,19.92830242,50.69988334,3.026399374,3.705718115,13.28600548,42.10604827,3.16393934,0.542241468,11.48854383,,23.69005597,48.03260714,19.18088661,29.47707818,9.059377955,56.22410782,12.07304248,24.68662702,48.704258,10.08594008,,2.41558475,43.04454665,16.5926139,16.45484218,2.903471037,17.1009587,22.72252146,55.33610952,15.24496482,92.22212961,19.60986732,40.93201591,11.67715603,16.73287322,0,2.266378649,8.763776922,42.56111058,2.06801543,53.89661631,19.2484444,39.18176865,26.61417991,13.49134865,4.724357178,22.51307472,0,15.30228351,0.055085692,19.40688683,4.673988964,3.513402986,5.439291833,19.98986641,8.486149778,25.55415353,29.02645333,0.947449546,17.20738566,26.73749429,68.58108624,67.28425341,13.64679528,,26.40292799,16.70063549,11.62184686,8.232973298,30.8871385,68.01358848,28.12072171,5.630427824,59.14877538,22.57267223,,92.25354066,6.986878203,9.657363163,55.52274925,10.93103304,27.07214546,55.82904708,88.70087006,,34.27524347,11.19056524,2.709805307,15.83503558,32.32234124,65.85682216,11.23898869,4.049637064,0.255698782,0,8.638317626,12.12217139,34.20128271,2.258516801,52.5350298,,7.760498914,,11.79665831,50.37305536,13.4424369,2.558846254,0,6.32513181,26.48340414,1.929764074,4.069827554,6.773415584,29.68625859,41.39797906,33.5443842,0,76.301127,92.81022876,25.19549299,0,3.957552952,45.61998728,12.33391289,12.99492531,10.47334526,62.96002029,12.69424398,0.002512463,97.63455082,46.47017415,79.50948695,33.29277413,5.066456201,,40.11794856,85.53806952,16.46555639,0,16.00533425,24.20906371,59.24309989,,22.99281113,38.85328796,0.978881387,16.57146139,47.09882168,,9.199707814,5.136663925,1.218043283,5.410643445,,5.158352102,6.396091142,3.634586857,11.00975971,21.60549424,45.44191095,11.84939066,22.24258239,22.15687498,1.154893315,27.88630434,1.533350866,86.64281886,56.01653326,19.59267931,76.71001217,5.7383969,0,22.27240955,69.57026111,92.92252643,22.61219145,40.07050124,3.027221461,59.17987042,1.355443859,41.19628708,34.70013046,0,,27.79487673,40.2737259,12.19134158
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
